customer_key,customer_id,customer_country,first_order_date,last_order_date,total_orders,total_revenue,total_profit,avg_rating,avg_order_value,is_repeat_customer,customer_lifespan_days
1,10000,Australia,2024-02-10,2024-02-10,1,133.15,119.28,4.2,133.15,False,0
2,10001,India,2023-01-01,2025-04-28,5,4950.25,4858.84,2.54,990.05,True,848
3,10002,USA,2023-04-02,2024-06-11,2,552.04,523.62,3.5,276.02,True,436
4,10003,Canada,2024-02-12,2025-02-12,2,1137.82,1116.09,4.35,568.91,True,366
5,10004,Canada,2023-05-02,2023-05-02,1,2278.29,2272.56,3.5,2278.29,False,0
6,10005,USA,2023-03-24,2025-04-14,3,3283.2,3246.98,2.9,1094.4,True,752
7,10006,UAE,2023-03-26,2023-05-19,2,368.99,342.52,2.95,184.5,True,54
8,10007,Canada,2024-10-13,2024-10-13,1,477.81,457.26,1.7,477.81,False,0
9,10008,Canada,2023-02-24,2023-02-24,1,158.44,143.06,2.0,158.44,False,0
10,10010,UAE,2023-02-27,2023-11-15,2,2714.29,2688.77,3.4,1357.14,True,261
11,10011,UK,2023-06-19,2024-12-12,2,1288.24,1248.41,3.05,644.12,True,542
12,10012,Germany,2023-10-30,2023-10-30,1,2367.2,2344.7,1.3,2367.2,False,0
13,10013,Canada,2023-02-08,2024-07-30,3,2803.81,2758.02,3.6666666666666665,934.6,True,538
14,10014,India,2023-03-28,2025-04-04,2,868.47,836.55,3.55,434.23,True,738
15,10015,USA,2025-01-20,2025-04-12,2,845.7,816.49,3.6,422.85,True,82
16,10016,India,2024-06-19,2024-06-19,1,1334.92,1315.98,1.8,1334.92,False,0
17,10017,India,2023-07-26,2024-11-21,2,1959.36,1941.93,3.65,979.68,True,484
18,10018,Canada,2024-11-29,2025-04-08,2,2421.06,2411.06,2.9,1210.53,True,130
19,10019,UAE,2023-11-07,2023-12-03,2,796.52,758.29,3.95,398.26,True,26
20,10020,UAE,2024-12-13,2024-12-13,1,2367.8,2347.35,4.8,2367.8,False,0
21,10021,UK,2024-04-10,2025-05-24,2,4886.33,4858.49,3.1,2443.16,True,409
22,10022,India,2023-12-01,2025-05-07,3,1667.53,1632.78,2.766666666666667,555.84,True,523
23,10024,Australia,2025-03-19,2025-03-19,1,701.76,678.96,2.2,701.76,False,0
24,10025,Australia,2023-07-15,2023-07-15,1,580.04,573.06,4.7,580.04,False,0
25,10026,Germany,2025-02-19,2025-02-19,1,391.53,367.47,1.1,391.53,False,0
26,10027,Germany,2023-12-26,2023-12-26,1,507.02,496.95,3.1,507.02,False,0
27,10028,UAE,2023-09-16,2024-01-15,2,3488.75,3459.08,2.9,1744.38,True,121
28,10029,India,2023-07-27,2025-05-18,4,2679.52,2619.61,3.225,669.88,True,661
29,10030,Germany,2025-05-09,2025-05-11,2,1349.0,1320.26,3.55,674.5,True,2
30,10031,UAE,2023-11-07,2023-11-07,1,488.01,482.03,3.8,488.01,False,0
31,10032,UK,2023-01-23,2025-05-09,4,3216.2,3155.87,2.45,804.05,True,837
32,10033,USA,2023-11-02,2023-11-02,1,1183.44,1173.69,1.4,1183.44,False,0
33,10034,UAE,2025-01-14,2025-01-14,1,1153.2,1128.89,1.5,1153.2,False,0
34,10037,India,2024-05-23,2024-12-17,2,3577.5,3542.8,3.15,1788.75,True,208
35,10038,India,2023-11-24,2024-08-04,2,452.96,419.65,2.05,226.48,True,254
36,10040,USA,2023-04-28,2025-01-05,4,3702.54,3662.38,2.325,925.64,True,618
37,10041,UK,2023-06-21,2025-01-04,2,2187.79,2155.27,2.7,1093.9,True,563
38,10042,India,2023-02-26,2024-06-24,2,815.31,787.16,3.0,407.66,True,484
39,10045,Canada,2023-03-20,2025-04-19,2,1199.92,1165.8,2.85,599.96,True,761
40,10046,Germany,2023-09-21,2023-11-15,2,2183.43,2161.7,2.65,1091.71,True,55
41,10047,UK,2023-01-21,2025-05-05,4,2454.25,2393.11,2.775,613.56,True,835
42,10048,UK,2023-08-30,2023-08-30,1,207.09,183.29,3.7,207.09,False,0
43,10049,Germany,2023-07-31,2024-10-19,3,3161.99,3124.52,2.8000000000000003,1054.0,True,446
44,10051,Canada,2023-11-20,2025-02-14,2,380.61,352.45,2.4,190.3,True,452
45,10052,Germany,2023-01-27,2024-03-15,3,3708.95,3675.03,1.8333333333333333,1236.32,True,413
46,10053,Australia,2024-10-28,2024-10-28,1,39.44,16.19,4.4,39.44,False,0
47,10054,Germany,2024-11-06,2025-04-28,2,1444.87,1423.83,3.4,722.44,True,173
48,10055,USA,2023-06-18,2024-07-27,2,3149.17,3107.89,3.8499999999999996,1574.58,True,405
49,10056,UK,2024-08-29,2025-02-26,2,584.68,555.8,2.45,292.34,True,181
50,10058,Australia,2023-01-13,2023-01-13,1,388.71,376.92,4.1,388.71,False,0
51,10061,UK,2023-01-22,2024-01-07,3,4477.27,4446.57,2.8666666666666667,1492.42,True,350
52,10062,Germany,2023-11-09,2023-11-09,1,1281.87,1267.91,1.7,1281.87,False,0
53,10063,USA,2025-05-27,2025-05-27,1,335.64,331.08,3.3,335.64,False,0
54,10065,Australia,2023-04-03,2025-02-19,2,1025.6,1004.28,4.0,512.8,True,688
55,10066,USA,2023-08-06,2024-09-28,3,2621.55,2583.66,3.1,873.85,True,419
56,10067,Germany,2024-11-01,2025-05-25,2,1617.76,1585.11,1.5499999999999998,808.88,True,205
57,10068,UK,2023-02-18,2024-11-13,3,4135.25,4095.82,3.1333333333333333,1378.42,True,634
58,10069,Australia,2023-04-05,2024-01-17,4,2755.24,2700.23,2.6500000000000004,688.81,True,287
59,10071,UK,2024-07-16,2024-07-16,1,684.33,670.89,2.7,684.33,False,0
60,10072,Canada,2025-04-28,2025-04-28,1,441.39,425.4,3.7,441.39,False,0
61,10073,Canada,2023-06-05,2024-03-04,2,2702.24,2670.66,3.75,1351.12,True,273
62,10074,Canada,2023-10-26,2023-10-26,1,1125.74,1108.71,4.5,1125.74,False,0
63,10075,UAE,2023-03-24,2023-10-14,3,4194.27,4139.31,2.966666666666667,1398.09,True,204
64,10077,UK,2024-04-03,2024-04-03,1,1937.88,1930.74,4.8,1937.88,False,0
65,10078,USA,2024-07-03,2024-11-17,2,2695.72,2655.37,3.55,1347.86,True,137
66,10079,India,2024-02-28,2024-02-28,1,1025.92,1023.66,3.3,1025.92,False,0
67,10080,Germany,2024-03-19,2024-03-19,1,2198.25,2183.06,3.0,2198.25,False,0
68,10082,UK,2024-08-03,2025-01-10,3,857.13,818.37,2.033333333333333,285.71,True,160
69,10083,UK,2025-03-17,2025-04-27,2,2600.97,2574.56,2.95,1300.49,True,41
70,10084,USA,2025-03-26,2025-06-01,2,1846.21,1811.69,2.35,923.1,True,67
71,10085,Australia,2023-03-31,2023-09-18,4,2892.64,2830.19,2.5,723.16,True,171
72,10086,India,2024-06-29,2024-06-29,1,157.75,143.04,4.2,157.75,False,0
73,10088,India,2023-07-06,2023-07-06,1,341.54,336.66,3.7,341.54,False,0
74,10089,UK,2023-06-03,2023-06-03,1,1474.96,1463.31,1.7,1474.96,False,0
75,10090,Canada,2025-03-19,2025-03-19,1,927.36,924.02,3.3,927.36,False,0
76,10091,Canada,2023-03-23,2023-03-23,1,545.16,542.94,4.5,545.16,False,0
77,10092,India,2025-01-15,2025-01-15,1,844.72,820.41,1.9,844.72,False,0
78,10094,USA,2025-05-20,2025-05-20,1,1100.01,1086.5,4.2,1100.01,False,0
79,10095,Canada,2023-07-23,2024-12-21,2,2277.75,2237.19,3.8000000000000003,1138.88,True,517
80,10098,UAE,2023-12-29,2023-12-29,1,1136.13,1111.57,1.9,1136.13,False,0
81,10099,UAE,2023-09-30,2025-06-05,4,3038.03,2981.62,3.175,759.51,True,614
82,10100,Australia,2024-01-27,2025-05-10,2,490.68,458.79,1.25,245.34,True,469
83,10101,Australia,2025-06-10,2025-06-10,1,65.48,41.05,2.6,65.48,False,0
84,10102,USA,2024-04-19,2024-04-19,1,317.56,298.71,4.9,317.56,False,0
85,10103,UAE,2024-07-28,2024-07-28,1,366.22,356.44,1.4,366.22,False,0
86,10104,UK,2023-10-06,2025-06-05,4,2939.61,2901.05,3.275,734.9,True,608
87,10106,UAE,2024-05-26,2025-05-05,2,1732.08,1689.99,4.550000000000001,866.04,True,344
88,10107,UK,2023-02-19,2023-12-06,4,4356.48,4270.44,2.75,1089.12,True,290
89,10108,UAE,2024-11-27,2024-11-27,1,1446.34,1443.75,2.7,1446.34,False,0
90,10109,Australia,2023-02-28,2023-11-15,2,2450.3,2429.76,4.300000000000001,1225.15,True,260
91,10111,Canada,2023-04-23,2023-10-14,2,3082.96,3058.59,2.95,1541.48,True,174
92,10112,India,2023-08-19,2023-08-19,1,72.32,67.72,4.8,72.32,False,0
93,10114,USA,2023-03-20,2023-03-20,1,465.87,446.52,1.4,465.87,False,0
94,10117,Canada,2024-06-12,2024-06-12,1,302.62,291.82,1.8,302.62,False,0
95,10118,Canada,2024-06-30,2025-02-20,2,2658.31,2633.47,4.65,1329.16,True,235
96,10119,UK,2024-06-25,2024-06-25,1,1974.0,1959.68,2.7,1974.0,False,0
97,10120,UAE,2024-01-09,2025-03-17,4,2222.06,2150.8,2.475,555.52,True,433
98,10121,UAE,2023-03-18,2023-07-30,2,2426.33,2403.91,2.95,1213.16,True,134
99,10122,USA,2024-07-24,2025-05-01,2,1566.86,1538.57,2.7,783.43,True,281
100,10123,Germany,2023-09-09,2023-09-09,1,770.4,745.44,1.1,770.4,False,0
101,10125,UK,2023-07-30,2025-04-30,4,3377.32,3307.45,3.5999999999999996,844.33,True,640
102,10126,India,2023-03-28,2023-09-07,2,4431.96,4401.84,2.45,2215.98,True,163
103,10129,Australia,2024-01-30,2024-01-30,1,104.62,88.62,4.1,104.62,False,0
104,10130,Australia,2023-09-07,2023-11-11,2,4442.36,4408.7,2.75,2221.18,True,65
105,10131,UAE,2024-05-26,2025-06-05,2,279.82,267.95,2.35,139.91,True,375
106,10133,UAE,2024-05-05,2025-03-08,3,1563.2,1514.39,3.9,521.07,True,307
107,10134,USA,2024-07-29,2024-07-29,1,791.13,786.38,1.7,791.13,False,0
108,10136,Australia,2023-09-17,2024-11-17,2,2007.15,1982.98,3.75,1003.58,True,427
109,10137,Canada,2023-03-31,2024-06-16,3,4160.32,4141.78,3.133333333333333,1386.77,True,443
110,10138,Canada,2023-03-28,2025-01-25,6,6171.04,6094.26,3.6999999999999997,1028.51,True,669
111,10140,UK,2024-04-05,2024-04-05,1,1970.04,1945.95,1.9,1970.04,False,0
112,10141,India,2023-02-26,2023-02-26,1,221.07,211.0,4.9,221.07,False,0
113,10143,USA,2024-01-27,2025-02-22,2,1068.71,1038.66,2.9,534.36,True,392
114,10145,Germany,2023-03-21,2023-08-21,2,1230.79,1211.67,3.05,615.4,True,153
115,10146,UAE,2023-06-24,2024-07-25,2,1494.89,1473.94,1.25,747.44,True,397
116,10147,UK,2024-06-08,2024-06-08,1,800.55,788.58,1.0,800.55,False,0
117,10148,Australia,2024-03-20,2024-03-24,2,1205.22,1183.06,1.55,602.61,True,4
118,10150,UK,2023-03-18,2024-01-31,2,2314.93,2276.61,2.75,1157.46,True,319
119,10151,India,2023-04-18,2024-02-13,2,2315.72,2303.95,3.1500000000000004,1157.86,True,301
120,10152,Canada,2024-08-13,2024-08-13,1,185.93,162.27,1.6,185.93,False,0
121,10153,Germany,2024-12-07,2024-12-07,1,973.46,949.57,3.5,973.46,False,0
122,10154,Australia,2025-06-08,2025-06-08,1,481.64,474.84,1.2,481.64,False,0
123,10155,Australia,2023-10-01,2024-03-23,2,2051.12,2027.64,2.5,1025.56,True,174
124,10156,Germany,2023-01-28,2023-01-28,1,1880.2,1863.0,2.4,1880.2,False,0
125,10157,Australia,2024-08-17,2025-05-17,2,1214.3,1173.96,2.1,607.15,True,273
126,10158,USA,2024-05-27,2024-05-27,1,1797.21,1783.15,4.1,1797.21,False,0
127,10159,Germany,2023-12-15,2023-12-15,1,1053.62,1035.92,2.3,1053.62,False,0
128,10160,India,2023-04-05,2023-11-29,2,701.45,678.57,4.2,350.72,True,238
129,10163,Germany,2023-06-09,2025-06-16,5,6763.46,6690.9,3.4799999999999995,1352.69,True,738
130,10165,USA,2023-11-25,2023-11-25,1,448.45,424.83,3.7,448.45,False,0
131,10166,Germany,2024-02-04,2024-12-07,3,1222.61,1185.52,3.1,407.54,True,307
132,10167,Germany,2023-06-04,2023-06-24,2,3179.59,3150.02,3.05,1589.8,True,20
133,10168,Canada,2023-11-05,2024-09-24,3,1363.92,1315.6,3.0666666666666664,454.64,True,324
134,10169,UK,2023-07-09,2024-06-06,2,1787.44,1745.02,2.8,893.72,True,333
135,10170,USA,2024-01-17,2024-08-11,3,3966.55,3911.88,2.9666666666666663,1322.18,True,207
136,10172,Australia,2023-01-21,2023-01-21,1,181.28,158.82,4.8,181.28,False,0
137,10173,USA,2023-01-19,2025-04-04,5,3378.85,3299.19,3.1399999999999997,675.77,True,806
138,10174,Canada,2024-03-18,2024-03-18,1,173.35,152.17,3.6,173.35,False,0
139,10175,Australia,2023-07-12,2023-07-12,1,1089.15,1067.94,1.9,1089.15,False,0
140,10177,Canada,2023-05-26,2023-08-25,2,2822.72,2792.93,4.6,1411.36,True,91
141,10178,Germany,2024-12-12,2025-04-13,2,1683.19,1648.54,4.75,841.6,True,122
142,10179,India,2023-10-24,2024-10-15,3,2471.36,2451.07,4.033333333333333,823.79,True,357
143,10183,Australia,2023-05-09,2023-05-09,1,285.2,274.93,3.8,285.2,False,0
144,10184,India,2023-12-19,2024-09-28,2,4417.79,4405.01,3.9499999999999997,2208.9,True,284
145,10185,Australia,2023-02-01,2025-01-22,2,514.69,492.8,4.45,257.35,True,721
146,10187,India,2024-06-12,2025-05-08,3,688.25,654.72,2.066666666666667,229.42,True,330
