product_key,product_id,product_category,avg_list_price,avg_discount_pct,total_units_sold,total_revenue,total_profit,return_rate,avg_rating,order_count
1,1000,Accessories,382.76,30.0,2,535.86,503.54,0.5,2.65,2
2,1000,Footwear,286.89,13.33,12,3002.89,2969.77,0.33,3.17,3
3,1000,Home Decor,770.68,10.0,4,2774.44,2755.93,0.0,1.8,1
4,1000,Sports,551.2,25.0,5,2067.0,2049.26,1.0,1.4,1
5,1000,Electronics,265.56,17.5,5,1110.55,1087.31,1.0,3.85,2
6,1000,Beauty,529.66,27.5,6,2743.82,2713.41,1.0,3.25,2
7,1000,Fashion,303.82,10.0,5,1317.76,1275.08,0.0,4.05,2
8,1001,Fashion,412.83,13.75,11,3520.21,3480.35,0.0,2.42,4
9,1001,Accessories,729.56,30.0,1,510.69,502.42,0.0,4.1,1
10,1001,Beauty,363.78,22.5,5,2295.8,2274.61,0.0,3.25,2
11,1001,Sports,278.67,30.0,3,585.21,561.32,0.0,1.3,1
12,1002,Sports,406.39,25.0,1,304.79,298.92,0.0,4.1,1
13,1002,Beauty,390.54,40.0,3,702.96,691.2,0.0,3.4,1
14,1002,Footwear,585.36,10.0,4,2107.28,2094.94,0.0,1.4,1
15,1003,Electronics,455.03,25.0,7,1922.61,1893.28,0.5,3.95,2
16,1003,Footwear,539.61,40.0,10,3350.75,3309.16,0.0,4.07,3
17,1003,Home Decor,538.99,20.0,1,431.19,406.4,0.0,2.1,1
18,1003,Beauty,385.77,11.67,5,1161.69,1119.66,0.0,2.4,3
19,1004,Home Decor,426.2,0.0,2,852.4,843.84,0.0,2.3,1
20,1004,Sports,481.02,32.5,5,1561.83,1535.25,0.5,4.25,2
21,1004,Electronics,237.19,20.0,5,894.01,869.42,0.0,3.25,2
22,1004,Accessories,650.43,10.0,5,2926.95,2915.28,1.0,2.3,1
23,1004,Footwear,427.66,30.0,2,598.72,590.78,0.0,1.7,1
24,1005,Beauty,561.98,30.0,4,1573.56,1555.37,0.0,1.9,1
25,1005,Footwear,331.25,25.0,5,1242.2,1227.8,0.0,4.2,1
26,1005,Sports,717.6,40.0,2,861.12,842.49,1.0,3.9,1
27,1005,Accessories,290.5,35.0,6,798.32,766.76,0.0,3.7,2
28,1005,Home Decor,477.52,0.0,3,1432.56,1408.77,0.0,1.2,1
29,1006,Accessories,712.07,25.0,1,534.05,531.26,0.0,3.4,1
30,1006,Home Decor,553.79,22.5,7,2643.06,2602.59,0.0,1.3,2
31,1006,Beauty,771.63,20.0,4,2469.2,2444.62,0.0,2.1,1
32,1006,Footwear,222.98,5.0,5,1229.8,1214.91,0.5,3.5,2
33,1007,Accessories,572.2,12.5,8,4010.92,3980.43,0.0,2.4,2
34,1007,Beauty,418.14,17.5,7,2316.26,2276.21,1.0,2.45,2
35,1007,Electronics,573.41,20.0,4,1834.92,1826.82,0.0,3.7,1
36,1007,Fashion,124.62,15.0,3,317.79,294.36,0.0,3.1,1
37,1007,Footwear,650.1,17.5,8,4297.88,4260.1,0.5,2.5,2
38,1008,Electronics,459.79,40.0,5,1379.35,1357.42,0.0,1.7,1
39,1008,Footwear,298.79,10.0,4,1075.64,1063.65,0.0,3.9,1
40,1009,Beauty,368.86,15.0,5,2271.07,2240.75,0.0,2.2,2
41,1009,Electronics,349.0,15.0,7,1717.11,1688.01,0.0,2.37,3
42,1009,Fashion,187.29,25.0,4,561.88,555.64,0.0,3.4,1
43,1009,Sports,295.49,0.0,3,886.47,864.39,0.0,2.5,1
44,1010,Sports,690.54,12.5,6,3959.32,3938.59,0.0,2.65,2
45,1010,Beauty,412.54,30.0,4,1155.12,1137.34,0.0,4.2,1
46,1010,Accessories,658.72,25.0,3,1482.12,1466.82,0.0,2.2,1
47,1010,Fashion,84.28,20.0,6,211.31,188.8,0.5,2.6,2
48,1010,Electronics,451.1,25.0,12,4198.12,4151.57,0.0,2.43,3
49,1011,Accessories,334.27,8.75,11,2861.15,2806.07,0.5,2.92,4
50,1011,Electronics,435.92,35.0,5,1741.2,1699.17,0.5,3.4,2
51,1011,Footwear,479.1,5.0,1,455.14,448.91,0.0,3.8,1
52,1011,Home Decor,534.1,25.0,7,2584.33,2557.54,0.0,2.05,2
53,1011,Sports,398.08,7.5,6,2194.35,2159.09,0.0,2.9,2
54,1012,Sports,111.42,40.0,4,267.4,263.53,0.0,2.6,1
55,1012,Footwear,308.17,20.0,2,493.08,470.03,0.0,3.2,1
56,1012,Beauty,540.76,30.0,2,757.06,737.52,0.0,4.6,1
